TDID,Run,TestCaseID,DefectID,APPLICATIONNAME,PAGETITLE,MENU,SUBMENU,EXTERNALAPPLICATIONMENU,EXTERNALAPPLICATIONSUBMENU,COSTCENTERNUMBER
Stores,YES,Store Search in Assessment Credits,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Org Units,Stores,5101
Districts,YES,Store Search in Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Org Units,Districts,5101
Regions,YES,Store Search in Passed - Today,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Org Units,Regions,5101
Cost Centers,YES,Store Search in Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Org Units,Cost Centers,5101
Cost Center Time Systems,YES,Store Search in Participants,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Org Units,Cost Center Time Systems,5101
Search,YES,Store Search in Store Messages,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Employees,Search,5101
Stores,YES,Store Search in Security Deposit,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Org Units,Stores,5101
Districts,YES,Store Search in LT Rev Lease Commission,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Org Units,Districts,5101
Regions,YES,Store Search in NPS Rolling Periods,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Org Units,Regions,5101
Cost Centers,YES,Store Search in Marketing Initiatives,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Org Units,Cost Centers,5101
Cost Center Time Systems,YES,Store Search in ACLens Patient Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Org Units,Cost Center Time Systems,5101
Search,YES,Store Search in Doctor Coverage,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Employees,Search,5101
Stores,YES,Store Search in UltiPro - SDS Lookup,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Fram Transfers Received,Org Units,Stores,5101
Districts,YES,Store Search in Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Fram Transfers Received,Org Units,Districts,5101
Regions,YES,Store Search in Fees,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Fram Transfers Received,Org Units,Regions,5101
