TestCaseID,Run,Browser,RequirementFeature,TestCaseTitle,Remarks
TC_001_ClickLinks_NVI,YES,FF,Links clicking in NVI Corporate Application,,None
TC_002_ClickLinks_FirstSight,NO,FF,Links clicking in FirstSightCorporateApplication,,None
TC_003_ClickLinks_AmericasBest,NO,FF,Links clicking in AmericasBestApplication,,None
TC_004_ClickLinks_EGW,NO,FF,Links clicking in EyeglassWorldApplication,,None
TC_005_ClickLinks_OpticalCenter,NO,FF,Links clicking in OpticalCenterOrMilitaryApplication,,None
TC_006_ClickLinks_VistaOptical,NO,FF,Links clicking in FredMeyerApplicationOrVistaApplication,,None
TC_007_ClickLinks_VisionCenter,NO,FF,Links clicking in Vision Center Or Walmart,,None
TC_008_ClickLinks_LABPortal,NO,FF,Links clicking in LAB Application,,None
TC_009_StoreNumberSearch_NVI,NO,FF,Store Search in NVI Portal,,None
TC_010_StoreNumberSearch_FirstSight,NO,FF,Store Search inFirst Sight Corporate Portal,,None
TC_011_StoreNumberSearch_AmericaBest,NO,FF,Store Search inAmericas Best Portal,,None
TC_012_EyeglassWorldApplication,NO,FF,Store Search inEyeglass World Portal,,None
TC_013_OpticalCenterOrMilitaryApplication,NO,FF,Store Search in Optical Center Or Military Portal,,None
TC_014_FredMeyerApplicationOrVistaApplication,NO,FF,Store Search in Fred Meyer or Vista Portal,,None
TC_015_VisionCenterOrWalmartApplication,NO,FF,Store Search in Vision Center Or Walmart Portal,,None
TC_016_LABApplication,NO,FF,Store Search in LAB Portal,,None
TC_017_ClickAddNewButton_NVI,NO,FF,Click Add New Button,,None
TC_018_ClickAddNewButton_FirstSight,NO,FF,Click Add New Button,,None
TC_019_ClickAddNewButton_EGW,NO,FF,Click Add New Button,,None
TC_020_ClickAddNewButton_Walmart,NO,FF,Click Add New Button,,None
TC_021_ClickAddNewButton_AmericaBest,NO,FF,Click Add New Button,,None
TC_022_NVICorporateApplication_CostCenterNoSearch,NO,FF,Click Add New Button,,None
TC_024_NVI_EmptySearch,NO,FF,Click Add New Button,,None
ClickLinks_CompleteWebPortal,NO,FF,Links clicking in NVI Corporate Application,,None
