TDID,Run,TestCaseID,DefectID,APPLICATIONNAME,PAGETITLE,MENU,SUBMENU,EXTERNALAPPLICATIONMENU,EXTERNALAPPLICATIONSUBMENU,STORENUMBER
1,YES,Store Search in Assessment Credits,,NVI Corporate Portal,NVI Corporate Portal,Training,Assessments,Credits,Assessment Credits,5101
2,YES,Store Search in Search,,NVI Corporate Portal,NVI Corporate Portal,Training,Assessments,Group Schedule,Search,5101
3,YES,Store Search in Passed - Today,,NVI Corporate Portal,NVI Corporate Portal,Training,Assessments,Assessment Schedule,Passed - Today,5101
4,YES,Store Search in Search,,NVI Corporate Portal,NVI Corporate Portal,Training,Assessments,Assessment Schedule,Search,5101
5,YES,Store Search in Participants,,NVI Corporate Portal,NVI Corporate Portal,Training,Assessments,Associates,Participants,5101
6,YES,Store Search in Store Messages,,NVI Corporate Portal,NVI Corporate Portal,Corporate,Portal Management,Portal Contents,Store Messages,5101
7,YES,Store Search in Security Deposit,,NVI Corporate Portal,NVI Corporate Portal,Corporate,Accounting,Other,Security Deposit,5101
8,YES,Store Search in LT Rev Lease Commission,,NVI Corporate Portal,NVI Corporate Portal,Corporate,Accounting,Rent Related,LT Rev Lease Commission,5101
9,YES,Store Search in NPS Rolling Periods,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Club Call,Report Card,NPS Rolling Periods,5101
10,YES,Store Search in Marketing Initiatives,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Club Call,Other,Marketing Initiatives,5101
11,YES,Store Search in ACLens Patient Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Club Call,Other,ACLens Patient Search,5101
12,YES,Store Search in Doctor Coverage,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Club Call,Other,Doctor Coverage,5101
13,YES,Store Search in UltiPro - SDS Lookup,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Club Call,Employees,UltiPro - SDS Lookup,5101
14,YES,Store Search in Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Club Call,Employees,Search,5101
15,YES,Store Search in Fees,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Club Call,DREX,Fees,5101
16,YES,Store Search in Incidents,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Club Call,Property,Incidents,5101
17,YES,Store Search in Telephone Inventory,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Club Call,Property,Telephone Inventory,5101
