TDID,Run,TestCaseID,DefectID,APPLICATIONNAME,PAGETITLE,MENU,SUBMENU,EXTERNALAPPLICATIONMENU,EXTERNALAPPLICATIONSUBMENU,STORENUMBER
1,YES,Store_InfoSIMReportCardNPSRollingPeriods,,FirstSight Corporate Portal,,Store Info,SIM,Report Card,NPS Rolling Periods,5101
2,YES,Store_InfoSIMOtherMarketingInitiatives,,FirstSight Corporate Portal,,Store Info,SIM,Other,Marketing Initiatives,5101
3,YES,Store_InfoSIMOtherACLensPatientSearch,,FirstSight Corporate Portal,,Store Info,SIM,Other,ACLens Patient Search,5101
4,YES,Store_InfoSIMOtherDoctorCoverage,,FirstSight Corporate Portal,,Store Info,SIM,Other,Doctor Coverage,5101
5,YES,Store_InfoSIMEmployeesUltiPro-SDSLookup,,FirstSight Corporate Portal,,Store Info,SIM,Employees,UltiPro - SDS Lookup,5101
6,YES,Store_InfoSIMEmployeesSearch,,FirstSight Corporate Portal,,Store Info,SIM,Employees,Search,5101
7,YES,Store_InfoSIMDREXFees,,FirstSight Corporate Portal,,Store Info,SIM,DREX,Fees,5101
8,YES,Store_InfoSIMPropertyIncidents,,FirstSight Corporate Portal,,Store Info,SIM,Property,Incidents,5101
9,YES,Store_InfoSIMPropertyTelephoneInventory,,FirstSight Corporate Portal,,Store Info,SIM,Property,Telephone Inventory,5101
10,YES,Store_InfoSIMMilitaryMonthlyEntry,,FirstSight Corporate Portal,,Store Info,SIM,Military,Monthly Entry,5101
11,YES,Store_InfoSIMMilitaryDailyEntry,,FirstSight Corporate Portal,,Store Info,SIM,Military,Daily Entry,5101
12,YES,Store_InfoSIMStore1099Doctor Entry,,FirstSight Corporate Portal,,Store Info,SIM,Store,1099 Doctor Entry,5101
13,YES,Store_InfoSIMStorePCIAuditHistory,,FirstSight Corporate Portal,,Store Info,SIM,Store,PCI Audit History,5101
14,YES,Store_InfoSIMStorePlanograms,,FirstSight Corporate Portal,,Store Info,SIM,Store,Planograms,5101
15,YES,Store_InfoSIMStoreFrameTagRequests,,FirstSight Corporate Portal,,Store Info,SIM,Store,Frame/Tag Requests,5101
16,YES,Store_InfoSIMStoreStoreDirectoryforStores,,FirstSight Corporate Portal,,Store Info,SIM,Store,Store Directory (for stores),5101
17,YES,Store_InfoSIMStoreSDSStoreExport,,FirstSight Corporate Portal,,Store Info,SIM,Store,SDS Store Export,5101
18,YES,Store_InfoSIMStoreLocationInfoforDM,,FirstSight Corporate Portal,,Store Info,SIM,Store,Location Info for DM,5101
19,YES,Store_InfoSIMStoreLocationInfo,,FirstSight Corporate Portal,,Store Info,SIM,Store,Location Info,5101
20,YES,Store_InfoSIMStoreLocatorW2GI,,FirstSight Corporate Portal,,Store Info,SIM,Store,Locator (W2GI),5101
21,YES,Store_InfoSIMStoreAlignmentByStore,,FirstSight Corporate Portal,,Store Info,SIM,Store,Alignment By Store,5101
22,YES,Store_InfoSIMStoreStorePOS,,FirstSight Corporate Portal,,Store Info,SIM,Store,Store POS,5101
23,YES,Store_InfoSIMStoreStoreLAN,,FirstSight Corporate Portal,,Store Info,SIM,Store,Store LAN,5101
24,YES,Store_InfoSIMStoreRelocationHistory,,FirstSight Corporate Portal,,Store Info,SIM,Store,Relocation History,5101
25,YES,Store_InfoSIMStoreRelocation,,FirstSight Corporate Portal,,Store Info,SIM,Store,Relocation,5101
26,YES,Store_InfoSIMStoreRemodel,,FirstSight Corporate Portal,,Store Info,SIM,Store,Remodel,5101
27,YES,Store_InfoSIMStoreClosing,,FirstSight Corporate Portal,,Store Info,SIM,Store,Closing,5101
28,YES,Store_InfoSIMStoreSchedule,,FirstSight Corporate Portal,,Store Info,SIM,Store,Schedule,5101
29,YES,Store_InfoSIMStoreAudit,,FirstSight Corporate Portal,,Store Info,SIM,Store,Audit,5101
30,YES,Store_InfoSIMOrg_UnitsCompanies,,FirstSight Corporate Portal,,Store Info,SIM,Org Units,Companies,5101
31,YES,Store_InfoSIMOrg_UnitsStores,,FirstSight Corporate Portal,,Store Info,SIM,Org Units,Stores,5101
32,YES,Store_InfoScheduler_AdminScheduleAppointments Search,,FirstSight Corporate Portal,,Store Info,Scheduler Admin,Schedule,Appointments Search,5101
33,YES,Store_InfoScheduler_AdminScheduleMonthly Schedule,,FirstSight Corporate Portal,,Store Info,Scheduler Admin,Schedule,Monthly Schedule,5101
34,YES,Store_InfoScheduler_AdminScheduleWeekly Schedule,,FirstSight Corporate Portal,,Store Info,Scheduler Admin,Schedule,Weekly Schedule,5101
35,YES,Store_InfoScheduler_AdminStoresScheduler,,FirstSight Corporate Portal,,Store Info,Scheduler Admin,Stores,Scheduler,5101
