TDID,Run,TestCaseID,DefectID,APPLICATIONNAME,PAGETITLE,MENU,SUBMENU,EXTERNALAPPLICATIONMENU,EXTERNALAPPLICATIONSUBMENU,COSTCENTERNUMBER
1,YES,,,NVI Corporate Portal,,Corporate,Accounting,Manager,Add Jobs,
2,YES,,,NVI Corporate Portal,,Corporate,Accounting,Business Insurance,Bus Ins Allocation,
3,YES,,,NVI Corporate Portal,,Corporate,Accounting,Business Insurance,Bus Ins Lab & DC Allocation,
4,YES,,,NVI Corporate Portal,,Corporate,Accounting,Business Insurance,Bus Ins Policy Invoices,
5,YES,,,NVI Corporate Portal,,Corporate,Accounting,Prepaid Expense,Business License Amortization,
6,YES,,,NVI Corporate Portal,,Corporate,Accounting,Rent Related,CAM Amortizations,
7,YES,,,NVI Corporate Portal,,Corporate,Accounting,Rent Related,Capital Leases,
8,YES,,,NVI Corporate Portal,,Corporate,Accounting,Other,Debt Fee Assets Additions,
9,YES,,,NVI Corporate Portal,,Corporate,Accounting,Other,Debt Fee Assets Amortization,
10,YES,,,NVI Corporate Portal,,Corporate,Accounting,Other,DREX,
11,YES,,,NVI Corporate Portal,,Corporate,Accounting,Rent Related,Fred Meyer Rent,
12,YES,,,NVI Corporate Portal,,Corporate,Accounting,Other,GL Accounts Addition,
13,YES,,,NVI Corporate Portal,,Corporate,Accounting,Other,Intangible Assets Additions,
14,YES,,,NVI Corporate Portal,,Corporate,Accounting,Other,Intangible Assets Amortization,
15,YES,,,NVI Corporate Portal,,Corporate,Accounting,Rent Related,Leases,
16,YES,,,NVI Corporate Portal,,Corporate,Accounting,Prepaid Expense,Payee Tax Code Additions,
17,YES,,,NVI Corporate Portal,,Corporate,Accounting,Prepaid Expense,Personal Property Tax Amort,
18,YES,,,NVI Corporate Portal,,Corporate,Accounting,Prepaid Expense,Prepaid Doctor Ins True Up,
19,YES,,,NVI Corporate Portal,,Corporate,Accounting,Prepaid Expense,Prepaid Other Amortization,
20,YES,,,NVI Corporate Portal,,Corporate,Accounting,Prepaid Expense,Prepaid Doctor Insurance,
21,YES,,,NVI Corporate Portal,,Corporate,Accounting,Prepaid Expense,Prepaid Stores Amortization,
22,YES,,,NVI Corporate Portal,,Corporate,Accounting,Other,Professional Fee,
23,YES,,,NVI Corporate Portal,,Corporate,Accounting,Prepaid Expense,Real Estate Tax Amortization,
24,YES,,,NVI Corporate Portal,,Corporate,Accounting,Other,Settlement,
25,YES,,,NVI Corporate Portal,,Corporate,Accounting,Worker's Compensation,WC Allocation,
26,YES,,,NVI Corporate Portal,,Corporate,Accounting,Worker's Compensation,WC Amortization Losses,
27,YES,,,NVI Corporate Portal,,Corporate,Accounting,Worker's Compensation,WC Lab & DC Allocation,
28,YES,,,NVI Corporate Portal,,Corporate,Accounting,Worker's Compensation,WC Policy Invoices,
29,YES,,,NVI Corporate Portal,,Corporate,Content Management,Set Up,Approval Groups,
30,YES,,,NVI Corporate Portal,,Corporate,Content Management,Files,File Search,
31,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Users,Activity: Details,
32,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Users,Activity: User/Date,
33,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Users,Activity: User/Page,
34,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Applications,Applications,
35,YES,,,NVI Corporate Portal,,Corporate,Portal Management,Portal Contents,Associate of the Month,
